Order,ID,Session,Title,Authors,Affiliations,Pages,Filename,DOI,URL,From,To,,,,,,,,,,,,,,,,
19,Article-19,4,SwipeRing: Gesture Typing on Smartwatches Using a Segmented QWERTY Around the Bezel,"Gulnar Rakhmetulla, Ahmed Sabbir Arif","University of California, Merced; University of California, Merced",12,Article-19.pdf,GI2021.19,https://doi.org/10.20380/GI2021.19,166,177,,,,,,,,,,,,,,,,
20,Article-20,5,Generating Rough Stereoscopic 3D Line Drawings from 3D Images,"Lesley Istead, Andreea Pocol, Craig S. Kaplan, Isaac Watt, Nick Lemoing, Alicia Yang",University of Waterloo; University of Waterloo; University of Waterloo; University of Waterloo; University of Waterloo; University of Waterloo,8,Article-20.pdf,GI2021.20,https://doi.org/10.20380/GI2021.20,178,185,,,,,,,,,,,,,,,,
21,Article-21,5,Real-Time Cinematic Tracking of Targets in Dynamic Environments,"Ludovic Burg, Christophe Lino, Marc Christie","Université de Rennes, France; École Polytechnique, France; Université de Rennes, France",10,Article-21.pdf,GI2021.21,https://doi.org/10.20380/GI2021.21,186,195,,,,,,,,,,,,,,,,
22,Article-22,5,Layered Weighted Blended Order-Independent Transparency,"Fabian Friederichs, Martin Eisemann, Elmar Eisemann","TH Köln, Germany; TU Braunschweig, Germany; Delft University of Technology, Netherlands",7,Article-22.pdf,GI2021.22,https://doi.org/10.20380/GI2021.22,196,202,,,,,,,,,,,,,,,,
23,Article-23,5,A Stricter Constraint Produces Outstanding Matching: Learning More Reliable Image Matching Using a Quadratic Hinge Triplet Loss Network,"Meng Xu, Chen Shen, Jun Zhang, Zhipeng Wang, Zhiwei Ruan, Stefan Poslad, Pengfei Xu",Queen Mary University of London; Didi Chuxing; Didi Chuxing; Peking University; Didi Chuxing; Queen Mary University of London; Didi Chuxing,7,Article-23.pdf,GI2021.23,https://doi.org/10.20380/GI2021.23,203,209,,,,,,,,,,,,,,,,
24,Article-24,5,Embodied Third-Person Virtual Locomotion using a Single Depth Camera,"Aniruddha Prithul, Isayas Berhe Adhanom, Eelke Folmer","University of Nevada, USA; University of Nevada, USA; University of Nevada, USA",10,Article-24.pdf,GI2021.24,https://doi.org/10.20380/GI2021.24,210,219,,,,,,,,,,,,,,,,
25,Article-25,5,Fast Monte Carlo Rendering via Multi-Resolution Sampling,"Qiqi Hou, Zhan Li, Carl S. Marshall, Selvakumar Panneer, Feng Liu",Portland State University; Portland State University; Intel; Intel; Portland State University,9,Article-25.pdf,GI2021.25,https://doi.org/10.20380/GI2021.25,220,228,,,,,,,,,,,,,,,,
26,Article-26,6,Exploring Alternative Methods of Visualizing Patient Data,"Rabia Tanvir, Mark Chignell, Deborah Fels",University of Toronto; University of Toronto; Ryerson University,8,Article-26.pdf,GI2021.26,https://doi.org/10.20380/GI2021.26,229,236,,,,,,,,,,,,,,,,
27,Article-27,6,Paper Forager: Supporting the Rapid Exploration of Research Document Collections,"Justin Matejka, Tovi Grossman, George Fitzmaurice",Autodesk Research; University of Toronto; Autodesk Research,9,Article-27.pdf,GI2021.27,https://doi.org/10.20380/GI2021.27,237,245,,,,,,,,,,,,,,,,
28,Article-28,6,Perspective Charts,"Mia MacTavish, Katayoon Etemad, Faramarz Samavati, Wesley Willett",University of Calgary; University of Calgary; University of Calgary; University of Calgary,10,Article-28.pdf,GI2021.28,https://doi.org/10.20380/GI2021.28,246,255,,,,,,,,,,,,,,,,
29,Article-29,6,"How Tall is that Bar Chart? Virtual Reality, Distance Compression and Visualizations","Diane Watson, George Fitzmaurice, Justin Matejka",University of Waterloo; Autodesk Research; Autodesk Research ,9,Article-29.pdf,GI2021.29,https://doi.org/10.20380/GI2021.29,256,264,,,,,,,,,,,,,,,,
30,Article-30,6,Visual-Interactive Neural Machine Translation,"Tanja Munz, Dirk Väth, Paul Kuznecov, Ngoc Thang Vu, Daniel Weiskopf ",University of Stuttgart; University of Stuttgart; University of Stuttgart; University of Stuttgart; University of Stuttgart,10,Article-30.pdf,GI2021.30,https://doi.org/10.20380/GI2021.30,265,274,,,,,,,,,,,,,,,,
31,Article-31,6,Contour Line Stylization to Visualize Multivariate Information,"Gazi Md. Hasnat Zahan, Debajyoti Mondal, Carl Gutwin",University of Saskatchewan; University of Saskatchewan; University of Saskatchewan,10,Article-31.pdf,GI2021.31,https://doi.org/10.20380/GI2021.31,198,201,,,,,,,,,,,,,,,,
32,Article-32,7,A Comparative Evaluation of Techniques for Locating Out-of-View Targets in Virtual Reality,"Sathaporn “Hubert” Hu, Joseph Malloch, Derek Reilly",Dalhousie University; Dalhousie University; Dalhousie University,11,Article-32.pdf,GI2021.32,https://doi.org/10.20380/GI2021.32,202,212,,,,,,,,,,,,,,,,
33,Article-33,7,Design and Evaluation of Three Selection Techniques for Tightly Packed 3D Objects in Cell Lineage Specification in Botany,"Jiayi Hong, Ferran Argelaguet, Alain Trubuil, Tobias Isenberg","Université Paris-Saclay, Frances; Université de Rennes, Frances; Université Paris-Saclay, Frances; Université Paris-Saclay, Frances",11,Article-33.pdf,GI2021.33,https://doi.org/10.20380/GI2021.33,213,223,,,,,,,,,,,,,,,,
34,Article-34,7,Audiovisual AR concepts for laparoscopic subsurface structure navigation,"Fabian Joeres, David Black, Seyedsina Razavizadeh, Christian Hansen","Otto-von-Guericke University, Germany; Otto-von-Guericke University, Germany; Otto-von-Guericke University, Germany; Otto-von-Guericke University, Germany",7,Article-34.pdf,GI2021.34,https://doi.org/10.20380/GI2021.34,224,230,,,,,,,,,,,,,,,,
35,Article-35,7,BayesGaze: A Bayesian Approach to Eye-Gaze Based Target Selection,"Zhi Li, Maozheng Zhao, Yifan Wang, Sina Rashidian, Furqan Baig, Rui Liu, Wanyu Liu, Michel Beaudouin-Lafon, Brooke Ellison, Fusheng Wang, IV Ramakrishnan, Xiaojun Bi","Stony Brook University; Stony Brook University; Stony Brook University; Stony Brook University; Stony Brook University; Stony Brook University; IRCAM Centre Pompidou; Université Paris-Saclay, France; Stony Brook University; Stony Brook University; Stony Brook University; Stony Brook University",10,Article-35.pdf,GI2021.35,https://doi.org/10.20380/GI2021.35,231,240,,,,,,,,,,,,,,,,
36,Article-36,7,Simulating Mass in Virtual Reality using Physically-Based Hand-Object Interactions with Vibration Feedback,"Hooman Khosravi, Katayoon Etemad, Faramarz F. Samavati",University of Calgary; University of Calgary; University of Calgary,8,Article-36.pdf,GI2021.36,https://doi.org/10.20380/GI2021.36,241,248,,,,,,,,,,,,,,,,
